
question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty,sub_topic_id

"The first three terms of an AP are 4, 7, and 10. Find the 4th term.",13,15,11,14,C,medium,51
"If the first term of an AP is 1/b, and the second term is 1/(b+e), what is the third term?",1/(b+2e),1/(b+e),1/(b+3e),1/(b+4e),A,easy,49
"The 6th term of an AP is 1/6. What is the corresponding HP term?",1/6,6,1/5,5,B,easy,49
"Identify the sequence: 1,1/3,1/5,1/7... ",1/9,1/10,1/8,C,easy,48
"What is the nth term of an HP if the corresponding AP is Tn=a+(n-1)d?",1/(a+n-1),1/(a+n),a+n,a+nd,A,easy,48
"Find the sum of the first 7 terms of a GP with a=5 and r=4.",210,255,225,240,D,medium,51
"The sum of the first terms of a GP is given by Sn=a(1-r^n)/1-r . What is true for this formula?",It holds for both AP and GP,It holds only for GP,It holds only for AP,It does not hold for either,B,easy,49
"Find the 5th term of a GP where a=2 and r=3.",162,128,128,144,D,easy,48
"In a GP, the common ratio r is found using which formula?",r = Tn/T(n-1),r = T(n-1)/Tn,r = Tn-1/Tn,r = Tn/T(n+1),A,easy,48
"Find the value of n if the sum of the first n terms of an AP is 210, with a=7 and d=3.",13,14,12,11,A,medium,51
"The 3rd term of a GP is 16, and the 6th term is 128. Find the common ratio.",2,4,3,6,B,easy,49
"An AP has a common difference of 3, and its 5th term is 20. What is the sum of the first 10 terms?",230,240,250,225,C,easy,49
"If the 3rd and 8th terms of an AP are 7 and 17 respectively, what is the first term?",3,4,5,2,D,easy,49
"What is the formula for the sum of the first terms of an AP?","S = n/2(a+L)","S = n/2(2a+d(n-1))","S = n/2(a+L+d)","S = n(a+d)",A,medium,51
"In an AP, the 7th term is 13, and the 10th term is 19. Find the common difference.",2,3,4,1,C,medium,51
"The sum of the first 4 terms of a GP with a = 2 and r = 3 is?",80,86,87,90,A,medium,51
"In an AP, the 2nd term is 10, and the 5th term is 22. What is the 8th term?",28,30,33,31,D,medium,51
"If the 4th term of a GP is 16 and the 6th term is 128, what is the common ratio?",2,3,4,5,A,easy,49
"The sum of the first 6 terms of a GP with a = 3 and r = 2 is?",183,184,185,186,B,easy,49
"Find the common difference of an AP if the first term is 4 and the 7th term is 16.",2,3,4,5,B,easy,48
"Two events, X and Y, are such that P(X)=0.5, P(Y)=0.3, and P(X ∩ Y) = 0.15. Are events X and Y independent?",Yes,No,Depends on the events,Cannot be determined,B,medium,47
"A die is rolled twice. What is the probability that the sum of the two rolls is greater than 8?",10/36,15/36,5/36,12/36,A,medium,47
"A fair coin is tossed 3 times. What is the probability of getting at least one tail?",1/8,1/2,7/8,1/4,C,medium,47
"A card is drawn sequentially from a deck of 52 cards. What is the probability that both cards drawn are hearts?",1/221,1/169,1/204,1/132,A,medium,47
"A box contains 6 red balls and 4 green balls. Two balls are drawn randomly with replacement. What is the probability that both balls are red?",36/100,16/100,9/100,6/100,A,medium,47
